file,config,rate,repeat,policy,thr,tpot50,tpot99,ttft50,ttft99,tot50,tot99,e2e50,qw50,kv,nrun,nwait,sm,outact,thr_throt,nmeas
20260707T011835Z_modelval_mixed_r0.5_rep0.json,modelval_mixed,0.5,0,,23.75,18.245044507686114,20.626629312578938,80.73571091517806,175.5035931011662,709.3024509958923,2970.8083333913232,709.3024509958923,0.0,0.000313928437247001,0.3561643835616438,0.0,20.82857142857143,63.333333333333336,,15
20260707T011940Z_modelval_mixed_r0.5_rep1.json,modelval_mixed,0.5,1,,63.525,87.9320074685368,137.16244167104986,264.3861488904804,635.8660236885771,8357.923179864883,23953.60490787309,8357.923179864883,0.0,0.006281582943764183,5.030927835051546,0.0,80.17128712871286,110.47826086956522,,23
20260707T012046Z_modelval_mixed_r0.5_rep2.json,modelval_mixed,0.5,2,,42.275,76.02236650667952,90.18423930021389,374.572841450572,760.3401178028435,4493.74119087588,18513.992719189264,4493.74119087588,0.0,0.0035178369423179683,2.520408163265306,0.0,76.02549019607844,105.6875,,16
20260707T012156Z_modelval_mixed_r1_rep0.json,modelval_mixed,1.0,0,,83.675,87.92613370700137,159.5487839028503,278.2511010300368,942.3319934215386,4059.5225680153817,23825.50780756864,4059.5225680153817,0.0,0.0069005474047689145,5.586538461538462,0.0,80.30092592592594,95.62857142857143,,35
20260707T012306Z_modelval_mixed_r1_rep1.json,modelval_mixed,1.0,1,,133.25,121.10175914732295,210.72435821357763,294.601121917367,876.1311233090237,12288.038480444811,32185.614623974543,12288.038480444811,0.0,0.014849331625250655,12.371428571428572,0.0,80.49090909090908,111.04166666666667,,48
20260707T012414Z_modelval_mixed_r1_rep2.json,modelval_mixed,1.0,2,,94.45,95.65285348484444,158.55696965919748,226.93485487252474,926.9608681369566,5051.335914060473,24185.986097007986,5051.335914060473,0.0,0.007827610565963237,6.480392156862745,0.0,79.41214953271027,96.87179487179488,,39
20260707T012533Z_modelval_mixed_r1.5_rep0.json,modelval_mixed,1.5,0,,177.975,137.94002077513366,226.70046597225354,295.11163919232786,1021.4050365984442,7881.34321407415,37238.58345082496,7881.34321407415,0.0,0.01633259641259298,13.900826446280991,0.0,81.12301587301587,106.25373134328358,,67
20260707T012644Z_modelval_mixed_r1.5_rep1.json,modelval_mixed,1.5,1,,168.8,192.38422533563343,301.1337828937302,397.27066550403833,1448.6641691462132,15265.551618533209,35155.065289256156,15265.551618533209,0.0,0.03202928077718742,26.66355140186916,0.0,82.25089285714287,105.5,,64
20260707T012758Z_modelval_mixed_r1.5_rep2.json,modelval_mixed,1.5,2,,165.625,128.95935744698102,185.7344015416655,277.22973842173815,948.8213357632044,6523.968535475433,32812.53119003028,6523.968535475433,0.0,0.016915746587729607,13.902654867256636,0.0,79.51525423728813,97.42647058823529,,68
20260707T012922Z_modelval_mixed_r2_rep0.json,modelval_mixed,2.0,0,,249.375,225.69098448868664,482.00628380215215,430.2179829683155,1055.8536085067312,17761.56194298528,52761.85244582592,17761.56194298528,0.0,0.033531902424261587,29.770992366412212,0.0,82.3058394160584,109.61538461538461,,91
20260707T013050Z_modelval_mixed_r2_rep1.json,modelval_mixed,2.0,1,,233.45,303.2084695625381,525.6940182312155,551.7344805411994,1295.803115887101,23814.37065906357,55762.6234560227,23814.37065906357,0.0,0.053025797691027984,44.354609929078016,0.0,84.26917808219179,113.8780487804878,,82
20260707T013206Z_modelval_mixed_r2_rep2.json,modelval_mixed,2.0,2,,202.0,208.98270114058894,369.4615940858191,312.54557706415653,1168.2781818415967,12593.936542980373,44095.83320025353,12593.936542980373,0.0,0.030188462588675254,25.439655172413794,0.0,82.19,104.93506493506493,,77
20260707T013343Z_modelval_mixed_r3_rep0.json,modelval_mixed,3.0,0,,330.575,451.762651737045,1031.3334848609109,639.4555645529181,2013.5273304954167,31158.030154882,73910.44789941516,31158.030154882,0.0,0.0679215586832894,64.99367088607595,0.0,85.23272727272729,100.17424242424242,,132
20260707T013532Z_modelval_mixed_r3_rep1.json,modelval_mixed,3.0,1,,332.45,463.869812011846,1288.8293086193876,744.5371460635215,1870.1230471488086,40347.49495587312,78387.15189849027,40347.49495587312,0.0,0.09685057294137053,86.40782122905028,0.0,86.33529411764707,109.90082644628099,,121
20260707T013717Z_modelval_mixed_r3_rep2.json,modelval_mixed,3.0,2,,331.15,453.50648615890856,1289.8743893257868,702.4642170872539,2553.452511671932,34873.70590912178,79644.15111575276,34873.70590912178,0.0,0.07778666702440463,67.75,0.0,86.09106145251397,105.968,,125
20260707T013920Z_modelval_mixed_r4_rep0.json,modelval_mixed,4.0,0,,436.9,607.7464238002035,1834.1779671561562,757.6177244773135,2694.522174762096,47415.57948256377,101376.1392479646,47415.57948256377,0.0,0.11329459510967231,106.27804878048781,0.0,86.54766355140187,105.27710843373494,,166
20260707T014134Z_modelval_mixed_r4_rep1.json,modelval_mixed,4.0,1,,469.45,604.4712797266476,1783.731467330983,924.4010214461014,1922.032497783657,54582.47580542229,102980.9430125635,54582.47580542229,0.0,0.12744460790131495,116.78508771929825,0.0,86.03025210084034,115.91358024691358,,162
